tanggal,judul,narasi,author,label
"Desember 28, 2023", Pasukan Israel Menodong Senjata ke Ambulans yang Akan Masuk ke Gaza Baru-Baru Ini,"Hasil periksa fakta Evarizma Zahra. Konteks yang salah. Video ini diambil pada 2019, ketika tentara Israel menghentikan ambulans yang akan masuk ke kota Ramallah, bukan […]",Pemeriksa Fakta Junior,0
"Desember 28, 2023"," Calon Presiden 2024 Kecelakaan, Tangis Keluarga Anies Tak Terbendung",Hasil periksa fakta Siti Lailatul Fitriyah Unggahan video dengan klaim bahwa Anies Baswedan mengalami kecelakaan hingga meninggal adalah konten yang dimanipulasi. Faktanya foto dalam thumbnail […],Pemeriksa Fakta Junior,0
"Desember 28, 2023"," Gerindra Berubah Haluan, Ribuan Kader Gerindra Deklarasi Dukung Ganjar Capres 2024",Hasil periksa fakta Siti Lailatul Fitriyah Video ribuan kader Gerindra dukung Ganjar sebagai Presiden 2024 adalah konten tidak benar. Faktanya tidak ada bukti kredibel terkait […],Pemeriksa Fakta Junior,0
"Desember 28, 2023", Gibran Ajukan Mundur Dari Politik Gegara Hal Mengejutkan Ini,"Hasil periksa fakta Siti Lailatul Fitriyah Unggahan video dengan klaim bahwa Gibran mengajukan undur diri dari politik adalah konten yang dimanipulasi. Judul, isi video dan […]",Pemeriksa Fakta Junior,0
"Desember 28, 2023"," Erick Thohir Gantikan Gibran Cawapres, Putusan Jokowi Mutlak","Hasil periksa fakta Siti Lailatul Fitriyah Unggahan video dengan judul yang mengklaim Erick gantikan Gibran sebagai Cawapres merupakan konten yang dimanipulasi. Faktanya, tidak ada bukti […]",Pemeriksa Fakta Junior,0
"Desember 28, 2023", KPK Grebek Kediaman Cawapres Nomor Urut 2 Tepat Hari Ini,"Hasil periksa fakta Siti Lailatul Fitriyah Unggahan video dengan klaim bahwa KPK grebek kediaman cawapres nomor urut 02 adalah tidak benar. Judul, isi video dan […]",Pemeriksa Fakta Junior,0
"Desember 28, 2023", Penampakan Capres Nomor 03 Dengan Baju Golkar Viral,Hasil periksa fakta Siti Lailatul Fitriyah Unggahan video Ganjar mengenakan baju partai Golkar adalah konten tidak benar. Faktanya tidak ada bukti kredibel terkait hal tersebut. […],Pemeriksa Fakta Junior,0
"Desember 28, 2023", Jokowi Intimidasi Masyarakat untuk Dukung Prabowo-Gibran,Hasil periksa fakta ‘Ainayya Al Fatikhah. Unggahan video yang mengklaim bahwa Presiden Joko Widodo melakukan intimidasi kepada masyarakat melalui bantuan sosial untuk mendukung Prabowo-Gibran merupakan […],Pemeriksa Fakta Junior,0
"Desember 28, 2023", Hakim MK Bacakan Pembatalan Cawapres Gibran Depan Jokowi Langsung,Hasil periksa fakta Siti Lailatul Fitriyah Video pembatalan Gibran jadi cawapres oleh Hakim MK adalah konten tidak benar. Faktanya tidak ada bukti kredibel terkait hal […],Pemeriksa Fakta Junior,0
"Desember 28, 2023", Gempa Bumi Terjang 278 Gedung di Ibukota,Hasil periksa fakta ‘Ainayya Al Fatikhah. Unggahan video yang mengklaim bahwa sebanyak 278 gedung di ibukota telah hancur akibat bencana gempa bumi yang terjadi pada […],Pemeriksa Fakta Junior,0
